PIN,State_id,City_id
721136,14,842
461111,20,446
822131,13,596
816110,13,779
764055,15,641
413510,5,397
271208,98,615
283152,98,436
847122,11,7
321026,2,232
671551,17,300
695013,17,535
721654,14,424
799201,26,936
583279,6,878
700061,14,63
431522,5,397
360530,65,456
271831,98,645
844118,11,5
273010,98,238
586108,6,870
530004,8,266
832106,13,766
209863,98,251
474009,20,158
796751,25,918
625528,7,463
515641,8,845
752025,15,640
770023,15,643
465689,20,373
689122,17,537
571219,6,882
712412,14,162
828106,13,764
752106,15,644
425505,5,387
362730,65,452
207301,98,222
788709,16,860
721631,14,424
814145,13,765
142044,9,201
263641,59,470
731104,14,186
742406,14,710
416419,5,409
637104,7,283
534227,8,849
743126,14,240
422004,5,384
225306,98,553
246285,59,435
581206,6,877
515261,8,845
532401,8,244
731127,14,186
755011,15,629
272165,98,623
534204,8,849
415609,5,383
638106,7,903
509321,144,506
671312,17,300
535216,8,265
151212,9,742
134116,10,98
781340,16,184
533450,8,847
263631,59,470
306707,2,345
786102,16,854
342025,2,66
500058,144,508
691525,17,537
783121,16,242
711313,14,27
380005,65,37
160017,52,678
314024,2,354
502372,144,906
833220,13,831
754002,15,121
284403,98,548
228120,98,431
246441,59,701
627755,7,285
781305,16,850
521256,8,269
416409,5,409
638451,7,903
632317,7,286
516362,8,274
743363,14,239
413207,5,396
231223,98,579
140119,9,809
125042,10,445
629402,7,904
506003,144,514
522304,8,270
524002,8,272
364110,65,40
203408,98,231
679576,17,540
723103,14,843
795127,21,895
533234,8,847
522002,8,270
793017,23,908
403517,4,815
249124,59,797
121005,10,10
624001,7,278
627818,7,285
678591,17,295
242307,98,566
451001,20,368
126116,10,61
304505,2,340
626202,7,413
683549,17,293
636304,7,283
612601,7,503
508280,144,509
573150,6,880
531149,8,266
713170,14,161
752120,15,121
244501,98,656
242405,98,566
486115,20,374
636457,7,283
504101,144,512
803203,11,4
600034,7,22
621316,7,411
627861,7,285
570002,6,886
444006,5,400
388625,65,817
577533,6,874
581308,6,892
713515,14,161
493778,18,749
456224,20,144
141004,9,24
140102,9,810
322241,2,348
400083,5,15
306307,2,345
632057,7,287
784525,16,852
754005,15,634
441209,5,382
422306,5,384
207247,98,222
845423,11,491
805101,11,522
517620,8,846
754110,15,630
382041,65,455
248145,59,25
641110,7,276
741245,14,420
328041,2,355
798615,22,926
796441,25,919
584126,6,887
607205,7,277
680686,17,539
713409,14,161
382421,65,455
793007,23,908
609108,7,706
584103,6,887
734008,14,839
753013,15,121
416551,5,391
620101,7,416
635701,7,287
605301,7,490
385410,65,818
221311,98,569
305007,2,365
577121,6,872
835205,13,33
765026,15,642
370660,65,821
360590,65,826
390007,65,46
327024,2,364
608702,7,277
734104,14,839
221706,98,94
341509,2,346
313602,2,53
577144,6,872
713359,14,161
387365,65,820
382820,65,822
847240,11,8
411006,5,55
261136,98,567
560090,6,868
713336,14,161
676519,17,540
563126,6,883
226031,98,563
483501,20,170
638458,7,276
614702,7,503
560035,6,867
560067,6,868
152022,9,808
246163,59,435
123101,10,107
713432,14,161
431811,5,399
583120,6,866
560012,6,867
522626,8,270
722141,14,185
731124,14,186
700021,14,63
493773,18,749
831004,13,766
160012,52,678
483334,20,155
577596,6,874
425311,5,387
224189,98,487
144520,9,804
802163,11,786
110005,1,16
110088,1,16
125047,10,445
322212,2,342
627151,7,285
209504,98,661
244301,98,573
332025,2,213
797117,22,922
642112,7,276
731220,14,186
415619,5,383
362315,65,464
147021,9,761
335503,2,211
679531,17,539
785671,16,856
221706,98,106
756166,15,173
202124,98,142
151103,9,681
263156,59,504
804451,11,4
734426,14,839
225121,98,553
574239,6,875
493441,18,533
400068,5,15
209401,98,583
205263,98,576
143518,9,803
142053,9,807
307513,2,341
686662,17,293
581338,6,892
768228,15,175
422604,5,753
202002,98,142
201314,98,610
247342,98,580
457001,20,369
734227,14,839
414003,5,753
324004,2,347
643215,7,280
621110,7,416
222146,98,167
146109,9,804
600104,7,22
627101,7,285
626118,7,288
506330,144,514
393115,65,89
509228,144,506
680613,17,539
132036,10,95
134101,10,98
326516,2,350
621206,7,416
509326,144,506
691533,17,536
221004,98,569
152001,9,201
341031,2,346
572220,6,890
412219,5,55
465674,20,373
636301,7,670
670694,17,298
574117,6,891
742147,14,710
700132,14,240
423106,5,384
415415,5,409
473113,20,146
143410,9,680
795106,21,898
629193,7,904
591306,6,865
202143,98,142
533241,8,847
424310,5,385
416701,5,383
488442,20,447
629170,7,904
637210,7,670
520008,8,269
415717,5,383
415503,5,86
501144,144,507
466114,20,330
621651,7,416
734423,14,839
764044,15,637
416010,5,391
851133,11,521
303001,2,32
502103,144,906
691510,17,536
440008,5,68
208027,98,583
671123,17,300
576228,6,891
402402,5,78
224145,98,245
151207,9,742
801305,11,438
632314,7,286
788114,16,851
788832,16,855
722134,14,185
754022,15,121
272204,98,655
628502,7,413
678508,17,295
623501,7,282
500068,144,508
689507,17,537
713140,14,161
400005,5,15
110054,1,16
583231,6,884
535145,8,266
360490,65,461
344035,2,362
635804,7,287
402105,5,78
443102,5,404
361003,65,456
210001,98,528
486884,20,335
342604,2,66
